																																	
			1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26					
	#space tags		{2, 4, 13, 26}	{7}	{2, 4, 7, 8, 14, 28}	{2, 3, 6, 9, 18, 27}	{}	{3, 17}	{3, 17}	{3, 19}	{5, 17}	{3, 19}	{2, 3, 6, 11, 22, 33}	{2, 4, 5, 8, 10, 16, 20, 40}	{2, 5, 10, 25}	{}	{5, 11}	{2, 5, 7, 10, 14, 35}	{2, 4, 17, 34}	{2, 4, 7, 8, 14, 28}	{2, 31}	{2, 4, 19, 38}	{2, 29}	{2, 37}	{}	{}	{2, 37}	{3, 23}					
																																	
	B#2		_deep	_box	_for	_medium	_liquid	_start	_orbit	_course	_guest	_sound	_point	_origin	_entry	_invest	_while	_exit	_log	_type	_task	_data	_stop	_opposite	_similar	_print	_clip	_format		512	{2, 4, 8, 16, 32, 64, 128, 256}	128	{2, 4, 8, 16, 32, 64}
	1		step	safe	ring	spark	mass	base	port	open	tree	pipe	actor	pulse	poll	channel	span	raw	subject	any	menu	gesture	theory	grid	tape	press	bound	score		491	{}	119	{7, 17}
	2		hook	cost	figure	bright	loop	phase	straight	root	bag	frequency	schedule	future	trial	bracket	thick	level	cloud	pad	vault	template	bundle	tunnel	packet	different	time	powder		587	{}	147	{3, 7, 21, 49}
	3		learn	pack	roof	cone	directory	oval	write	drop	structure	metal	program	stream	loose	sync	combine	edit	branch	panel	fine	verbose	union	stick	pare	limited	date	canvas		552	{2, 3, 4, 6, 8, 12, 23, 24, 46, 69, 92, 138, 184, 276}	139	{}
	4		gain	part	slate	stand	bar	carry	read	tube	mono	belt	over	place	connect	ready	arrow	sheet	slab	cancel	bounce	progress	practical	cast	exist	colour	week	fiction		516	{2, 3, 4, 6, 12, 43, 86, 129, 172, 258}	132	{2, 3, 4, 6, 11, 12, 22, 33, 44, 66}
	5		move	quote	gap	back	leap	per	clause	book	code	plug	market	on	say	lay	dot	contrast	brick	build	close	instruct	idle	position	thread	collect	month	archive		507	{3, 13, 39, 169}	126	{2, 3, 6, 7, 9, 14, 18, 21, 42, 63}
	6		fill	bill	file	square	shrink	scheme	dash	watch	access	area	average	off	other	pitch	font	caution	home	house	balance	moment	fast	vacant	round	reply	year	render		531	{3, 9, 59, 177}	132	{2, 3, 4, 6, 11, 12, 22, 33, 44, 66}
	7		mix	meet	energy	double	unity	joint	calculate	trip	compound	toll	chain	appendix	axis	speed	freeze	touch	out	activate	range	specimen	aisle	less	clamp	live	zone	voice		546	{2, 3, 6, 7, 13, 14, 21, 26, 39, 42, 78, 91, 182, 273}	138	{2, 3, 6, 23, 46, 69}
	8		race	name	hash	bind	card	compare	memory	clock	tune	drag	tick	cable	clue	now	angle	smart	role	coordinate	circuit	current	last	custom	complete	all	slide	media		527	{17, 31}	131	{}
	#sense		130	132	147	151	162	154	184	140	164	158	170	165	159	161	159	164	153	174	168	232	178	173	165	200	142	172		4257	{3, 9, 11, 33, 43, 99, 129, 387, 473, 1419}	1064	{2, 4, 7, 8, 14, 19, 28, 38, 56, 76, 133, 152, 266, 532}
	#sense tags		{2, 5, 10, 13, 26, 65}	{2, 3, 4, 6, 11, 12, 22, 33, 44, 66}	{3, 7, 21, 49}	{}	{2, 3, 6, 9, 18, 27, 54, 81}	{2, 7, 11, 14, 22, 77}	{2, 4, 8, 23, 46, 92}	{2, 4, 5, 7, 10, 14, 20, 28, 35, 70}	{2, 4, 41, 82}	{2, 79}	{2, 5, 10, 17, 34, 85}	{3, 5, 11, 15, 33, 55}	{3, 53}	{7, 23}	{3, 53}	{2, 4, 41, 82}	{3, 9, 17, 51}	{2, 3, 6, 29, 58, 87}	{2, 3, 4, 6, 7, 8, 12, 14, 21, 24, 28, 42, 56, 84}	{2, 4, 8, 29, 58, 116}	{2, 89}	{}	{3, 5, 11, 15, 33, 55}	{2, 4, 5, 8, 10, 20, 25, 40, 50, 100}	{2, 71}	{2, 4, 43, 86}		163.7307692307692		40.92307692307692	
	#space		32	33	36	40	39	39	46	34	42	38	46	40	37	39	39	42	38	45	43	59	43	43	43	46	35	47					
	#space tags		{2, 4, 8, 16}	{3, 11}	{2, 3, 4, 6, 9, 12, 18}	{2, 4, 5, 8, 10, 20}	{3, 13}	{3, 13}	{2, 23}	{2, 17}	{2, 3, 6, 7, 14, 21}	{2, 19}	{2, 23}	{2, 4, 5, 8, 10, 20}	{}	{3, 13}	{3, 13}	{2, 3, 6, 7, 14, 21}	{2, 19}	{3, 5, 9, 15}	{}	{}	{}	{}	{}	{2, 23}	{5, 7}	{}					
																																	
	C#3		_new	_source	_full	_period	_random	_serial	_try	_tool	_micro	_catch	_next	_this	_else	_either	_equal	_previous	_continue	_adapt	_sequence	_main	_void	_sort	_count	_length	_trim	_let		525	{3, 5, 7, 15, 21, 25, 35, 75, 105, 175}	130	{2, 5, 10, 13, 26, 65}
	1		negative	wide	bin	detail	amplify	operate	idea	under	prime	chart	admit	rhythm	resource	velvet	gel	window	nozzle	top	facade	high	dish	scan	division	multiple	cube	amount		556	{2, 4, 139, 278}	141	{3, 47}
	2		neutral	bridge	release	pro	these	separate	chance	claim	row	invoke	logo	variable	leak	concept	mirror	merge	wing	automatic	small	torque	lid	desire	integer	socket	badge	quality		582	{2, 3, 6, 97, 194, 291}	148	{2, 4, 37, 74}
	3		timber	yield	duty	rule	remote	capacity	fact	store	column	guide	pixel	bus	drum	engine	factory	lamp	gas	glass	lack	tower	respect	studio	letter	bias	zoom	pan		524	{2, 4, 131, 262}	129	{3, 43}
	4		expand	linear	pace	inter	fresh	journal	digit	surplus	lead	minimum	roll	solution	sticker	ignite	chimney	stamp	sit	host	paint	version	scroll	segment	diagnostic	shape	select	every		617	{}	151	{}
	5		cheque	mat	arbitrary	throb	dice	parallel	second	hall	route	maximum	publish	disable	mission	paper	special	synthesis	alloy	width	tie	passive	present	model	beat	plan	cue	needle		602	{2, 7, 14, 43, 86, 301}	148	{2, 4, 37, 74}
	6		strike	only	edition	diagram	follow	atom	minute	city	factor	dual	tweet	enable	steam	way	mock	database	bot	breadth	draw	active	past	spin	associate	rotate	icon	batch		532	{2, 4, 7, 14, 19, 28, 38, 76, 133, 266}	137	{}
	7		collapse	article	service	intra	divide	browse	hour	costume	coupon	element	trend	clutches	nursery	fire	target	policy	miss	anchor	sketch	cyber	curve	pop	auxiliary	skip	entity	dump		607	{}	151	{}
	8		teeth	finish	grill	front	partition	hertz	shred	electric	denote	bench	yard	annotate	team	cellular	rope	extinct	cut	law	comply	hub	cabin	rational	valid	same	fly	legal		559	{13, 43}	139	{}
	9		cache	aim	probe	pure	trunk	insulate	rail	sharp	asset	mode	distant	and	or	not	equate	force	semi	fan	advance	fibre	gate	find	registry	component	scratch	commit		506	{2, 11, 22, 23, 46, 253}	131	{}
	10		positive	bookmark	package	spot	cause	technology	fold	theme	vessel	end	acute	redo	construct	destruct	undo	history	arm	bottom	corner	low	result	which	uniform	ticket	orient	elapse		615	{3, 5, 15, 41, 123, 205}	151	{}
	#sense		239	211	217	190	236	297	184	230	219	206	205	241	234	221	218	253	167	205	210	195	201	214	272	229	188	218		5700	{2, 3, 4, 5, 6, 10, 12, 15, 19, 20, 25, 30, 38, 50, 57, 60, 75, 76, 95, 100, 114, 150, 190, 228, 285, 300, 380, 475, 570, 950, 1140, 1425, 1900, 2850}	1426	{2, 23, 31, 46, 62, 713}
	#sense tags		{}	{}	{7, 31}	{2, 5, 10, 19, 38, 95}	{2, 4, 59, 118}	{3, 9, 11, 27, 33, 99}	{2, 4, 8, 23, 46, 92}	{2, 5, 10, 23, 46, 115}	{3, 73}	{2, 103}	{5, 41}	{}	{2, 3, 6, 9, 13, 18, 26, 39, 78, 117}	{13, 17}	{2, 109}	{11, 23}	{}	{5, 41}	{2, 3, 5, 6, 7, 10, 14, 15, 21, 30, 35, 42, 70, 105}	{3, 5, 13, 15, 39, 65}	{3, 67}	{2, 107}	{2, 4, 8, 16, 17, 34, 68, 136}	{}	{2, 4, 47, 94}	{2, 109}		219.2307692307692		54.84615384615385	
	#space		65	52	58	48	58	71	48	55	52	53	51	61	57	56	54	62	38	51	52	51	51	52	73	56	48	53					
	#space tags		{5, 13}	{2, 4, 13, 26}	{2, 29}	{2, 3, 4, 6, 8, 12, 16, 24}	{2, 29}	{}	{2, 3, 4, 6, 8, 12, 16, 24}	{5, 11}	{2, 4, 13, 26}	{}	{3, 17}	{}	{3, 19}	{2, 4, 7, 8, 14, 28}	{2, 3, 6, 9, 18, 27}	{2, 31}	{2, 19}	{3, 17}	{2, 4, 13, 26}	{3, 17}	{3, 17}	{2, 4, 13, 26}	{}	{2, 4, 7, 8, 14, 28}	{2, 3, 4, 6, 8, 12, 16, 24}	{}					
																																	
	D#3		_fraction	_exclude	_include	_admin	_static	_company	_door	_tablet	_trance	_insurance	_rear	_buy	_duo	_lock	_sell	_hide	_silent	_bed	_capsule	_satellite	_opaque	_throw	_error	_default	_cron	_function		596	{2, 4, 149, 298}	147	{3, 7, 21, 49}
	1		generic	hyphen	integrate	phrase	verb	handle	dry	install	noun	risk	duplicate	who	expense	adhoc	important	fluke	due	diameter	aperture	streak	grip	exempt	derive	versus	tempo	formula		602	{2, 7, 14, 43, 86, 301}	153	{3, 9, 17, 51}
	2		behaviour	regular	feasible	recent	cup	chalk	support	major	price	patch	difference	pallet	feed	thrust	wizard	hear	appliance	hazard	snap	hire	strap	nibble	half	season	add	stencil		597	{3, 199}	150	{2, 3, 5, 6, 10, 15, 25, 30, 50, 75}
	3		sense	contract	vertical	nut	mug	tail	above	tense	tax	protect	during	analysis	slash	concentrate	arcade	smell	organise	cold	hole	lend	novel	byte	bolt	dress	empty	constant		570	{2, 3, 5, 6, 10, 15, 19, 30, 38, 57, 95, 114, 190, 285}	143	{11, 13}
	4		establish	junction	between	estimate	product	jam	middle	edge	literal	basket	decade	desk	swap	temporary	deposit	mouth	commerce	zero	twin	crawl	navigator	mega	ink	rest	person	laboratory		625	{5, 25, 125}	157	{}
	5		snooze	inverse	horizontal	loan	toast	shrine	below	wash	free	sacred	diverse	skill	decay	dilute	deduct	eye	residence	absolute	cycle	flash	vendor	kilo	alert	lag	senior	carrier		600	{2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 25, 30, 40, 50, 60, 75, 100, 120, 150, 200, 300}	147	{3, 7, 21, 49}
	6		vacuum	plot	forum	life	spread	stellar	traffic	minor	rent	partial	distance	rack	coil	facility	blend	vocal	property	enlist	slam	seed	license	binary	slip	none	fail	security		600	{2, 3, 4, 5, 6, 8, 10, 12, 15, 20, 24, 25, 30, 40, 50, 60, 75, 100, 120, 150, 200, 300}	144	{2, 3, 4, 6, 8, 9, 12, 16, 18, 24, 36, 48, 72}
	7		dialect	court	option	valve	resume	boost	collaborate	fusion	persist	verge	diagonal	dessert	trust	description	ceramic	abundant	biometric	hybrid	dynamic	complicate	award	supplement	migrate	explore	critic	budget		699	{3, 233}	182	{2, 7, 13, 14, 26, 91}
	#sense		188	184	210	141	132	152	179	155	133	146	196	165	139	219	172	149	208	167	155	157	159	159	131	144	141	212		4293	{3, 9, 27, 53, 81, 159, 477, 1431}	1076	{2, 4, 269, 538}
	#sense tags		{2, 4, 47, 94}	{2, 4, 8, 23, 46, 92}	{2, 3, 5, 6, 7, 10, 14, 15, 21, 30, 35, 42, 70, 105}	{3, 47}	{2, 3, 4, 6, 11, 12, 22, 33, 44, 66}	{2, 4, 8, 19, 38, 76}	{}	{5, 31}	{7, 19}	{2, 73}	{2, 4, 7, 14, 28, 49, 98}	{3, 5, 11, 15, 33, 55}	{}	{3, 73}	{2, 4, 43, 86}	{}	{2, 4, 8, 13, 16, 26, 52, 104}	{}	{5, 31}	{}	{3, 53}	{3, 53}	{}	{2, 3, 4, 6, 8, 9, 12, 16, 18, 24, 36, 48, 72}	{3, 47}	{2, 4, 53, 106}		165.1153846153846		41.38461538461538	
	#space		49	45	53	36	34	36	44	36	34	40	54	37	34	56	46	35	54	42	36	38	41	40	33	35	35	53					
	#space tags		{7}	{3, 5, 9, 15}	{}	{2, 3, 4, 6, 9, 12, 18}	{2, 17}	{2, 3, 4, 6, 9, 12, 18}	{2, 4, 11, 22}	{2, 3, 4, 6, 9, 12, 18}	{2, 17}	{2, 4, 5, 8, 10, 20}	{2, 3, 6, 9, 18, 27}	{}	{2, 17}	{2, 4, 7, 8, 14, 28}	{2, 23}	{5, 7}	{2, 3, 6, 9, 18, 27}	{2, 3, 6, 7, 14, 21}	{2, 3, 4, 6, 9, 12, 18}	{2, 19}	{}	{2, 4, 5, 8, 10, 20}	{3, 11}	{5, 7}	{5, 7}	{}					
																																	
	E#3		_splash	_true	_float	_spout	_abstract	_flux	_delta	_align	_texture	_exponent	_object	_success	_bonus	_suit	_precede	_star	_jack	_gradient	_tint	_alias	_gamma	_interface	_distinct	_string	_false	_jump		576	{2, 3, 4, 6, 8, 9, 12, 16, 18, 24, 32, 36, 48, 64, 72, 96, 144, 192, 288}	148	{2, 4, 37, 74}
	1		differential	fountain																							territory	league					
	2		contextual	reverse																							preface	intelligence					
	3		logical	encircle																							popular	brilliance					
	4		physical	sphere																							promotion	medal					
	#sense		152	113																							135	133					
	#sense tags		{2, 4, 8, 19, 38, 76}	{}																							{3, 5, 9, 15, 27, 45}	{7, 19}					
	#space		37	29																							32	33					
	#space tags		{}	{}																							{2, 4, 8, 16}	{3, 11}					
																																	
			1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26					
			A#3	B#2	C#3	D#3	E#3	F#5	G#3	H#4	I#3	J#5	K#5	L#7	M#5	N#5	O#5	P#5	Q#4	R#4	S#5	T#3	U#5	V#2	W#7	X#1	Y#6	Z#6		#sense	#sense tags	#space	#space tags
